q_num,py_question_code,py_question_text,py_q_option_code,py_q_option_label
1,"question_code_q1 =""user_entry""","question_label_q1 =""Are you looking to design a new remote camera project, or analyze data that was already collected?""","options_codes_q1 = [""study_design"",""analysis""]","option_labels_q1 = [""Design a new remote camera project"",""Analyze data that was already collected""]"
2,"question_code_q2 =""objective""","quesiton_label_q2 =""What's your objective? Select ""Unknown"" if you're not sure.""","options_codes_q2 = [""obj_inventory"",""obj_divers_rich"",""obj_occupancy"",""obj_rel_abund"",""obj_abundance"",""obj_pop_size"",""obj_density"",""obj_vital_rate"",""obj_behaviour"",""obj_unknown""]","option_labels_q2 = [""Species inventory"",""Species diversity & richness"",""Occupancy"",""Relative abundance"",""Absolute abundance"",""Population size"",""Density"",""Vital rates"",""Behaviour"",""Unknown""]"
4,"question_code_q5 =""study_area_mult""","quesiton_label_q5 =""Do you plan to use data from multiple study areas?""","options_codes_q5 = [""TRUE"",""FALSE""]","option_labels_q5 = [""YES"",""NO""]"
5,"question_code_q6 =""cam_dens_gradient""","quesiton_label_q6 =""Will you place Camera Locations across a known density gradient?""","options_codes_q6 = [""TRUE"",""FALSE""]","option_labels_q6 = [""YES"",""NO""]"
7,"question_code_q9 =""cam_high_dens""","quesiton_label_q9 =""Can cameras be deployed close together (i.e., high camera density)?""","options_codes_q9 = [""TRUE"",""FALSE""]","option_labels_q9 = [""YES"",""NO""]"
10,"question_code_q14 =""survey_dur_mth""","quesiton_label_q14 =""How many months did you sample in total?""","options_codes_q14 = [""NA""]","option_labels_q14 = [""NA""]"
11,"question_code_q15 =""sp_asymptote""","quesiton_label_q15 =""Do you wish to sample long enough to reach the species-accumulation asymptote?""","options_codes_q15 = [""yes"",""no"",""unkn""]","option_labels_q15 = [""YES"",""NO"",""I'm not sure""]"
12,"question_code_q16 =""study_season_num""","quesiton_label_q16 =""How many seasons will the study contain?""","options_codes_q16 = [""NA""]","option_labels_q16 = [""NA""]"
13,"question_code_q17 =""obj_targ_sp""","quesiton_label_q17 =""Are you sampling for a single species or multiple?""","options_codes_q17 = [""single"",""multiple""]","option_labels_q17 = [""Single"",""Multiple""]"
14,"question_code_q18 =""sp_info""","quesiton_label_q18 =""How well is the biology about of the Target Species known?""","options_codes_q18 = [""poor"",""well"",""unkn""]","option_labels_q18 = [""Poorly known"",""Well known"",""I'm not sure""]"
15,"question_code_q19 =""sp_type""","quesiton_label_q19 =""Is the Target Species a carnivore or ungulate?""","options_codes_q19 = [""carnivore"",""ungulate"",""other""]","option_labels_q19 = [""Carnivore"",""Ungulate"",""Other""]"
16,"question_code_q20 =""sp_dens_low""","quesiton_label_q20 =""Does the Target Species occur in low density?""","options_codes_q20 = [""yes"",""no"",""unkn""]","option_labels_q20 = [""YES"",""NO"",""I'm not sure""]"
17,"question_code_q21 =""sp_occ_restr""","quesiton_label_q21 =""Is the distribution of the Target Species highly restricted?""","options_codes_q21 = [""yes"",""no"",""unkn""]","option_labels_q21 = [""YES"",""NO"",""I'm not sure""]"
20,"question_code_q24 =""sp_size""","quesiton_label_q24 =""What is the approximate size of the Target Species?""","options_codes_q24 = [""sm"",""med"",""lg"",""multiple""]","option_labels_q24 = [""Small"",""Medium"",""Large"",""Multiple""]"
